Payout_H,Payout_D,Payout_A,TG25_Payout_O,TG25_Payout_U,Final_R
1.18,7,13,1.44,2.7,H
2,3.39,3.75,1.95,1.85,H
2.5,3.1,2.89,2.25,1.61,A
2.29,3.25,3.1,2.07,1.72,A
10,5.25,1.28,1.5,2.5,A
5.75,4,1.57,1.66,2.14,A
1.28,5.25,10,1.47,2.6,H
1.28,5.25,10,1.57,2.35,H
1.83,3.39,4.5,2.29,1.6,H
2.5,3.2,2.87,2.5,1.5,D
2.29,3.2,3.1,2.35,1.57,H
2.87,3.2,2.5,2.2,1.64,A
2.25,3.1,3.39,2.39,1.53,A
2.14,3.29,3.39,1.95,1.85,H
5.5,3.75,1.61,2.04,1.75,A
1.57,4.2,5.25,1.64,2.2,H
4.5,3.75,1.72,1.72,2.07,H
1.22,6.5,11,1.44,2.7,H
1.9,3.6,3.75,1.72,2.07,D
1.75,3.6,4.75,2,1.8,D
2.29,3.25,3.1,2.25,1.61,H
1.16,7,15,1.6,2.29,H
2.25,3.1,3.39,2.2,1.64,H
2.6,3.1,2.79,2.5,1.5,H
3.75,3.6,1.9,1.5,2.5,A
2.04,3.2,3.79,2,1.8,H
4.59,3.6,1.75,1.66,2.14,A
2.29,3.1,3.2,2.04,1.75,H
2.04,3.25,3.75,2.04,1.75,D
2.04,3.1,4,2.35,1.57,H
2.54,3.1,2.87,2.35,1.57,D
1.22,6,12,1.39,2.87,H
2,3.1,4.2,2.35,1.57,A
1.75,3.39,5,1.95,1.85,D
1.25,5.75,11,1.64,2.2,H
4.5,3.79,1.72,1.61,2.25,A
6.5,3.79,1.53,1.95,1.85,H
2.6,3.2,2.7,2.25,1.61,H
1.18,7,13,1.36,3.1,H
2.25,3.2,3.25,2.2,1.64,H
2,3.2,4,2.29,1.6,D
2.39,3,3.2,2.6,1.47,H
2.37,3.25,3,1.95,1.85,H
2.04,3.6,3.39,1.64,2.2,H
6,4,1.55,,,H
1.95,3.6,3.6,1.61,2.25,D
2,3.2,4,2.14,1.66,D
1.33,5,9,1.64,2.2,H
2.04,3.39,3.5,1.8,2,H
2.5,3,3,2.35,1.57,H
1.66,3.6,5.25,2.04,1.75,D
1.16,7,15,1.6,2.29,H
2.75,3.1,2.62,2.35,1.57,A
10,6,1.25,1.6,2.29,D
1.08,10,24,,,H
2.29,3.2,3.1,1.95,1.85,D
2.37,3.2,3,,,H
1.18,6.5,15,1.53,2.39,A
2.45,3.1,3,2.04,1.75,H
2.25,3.1,3.39,2.35,1.57,D
1.8,3.25,5,2.14,1.66,D
8,4.75,1.36,1.72,2.07,A
7,4.33,1.44,1.8,2,H
2.2,3.25,3.29,2.35,1.57,D
6.5,4.5,1.44,1.61,2.25,H
4.5,3.75,1.72,1.72,2.07,D
1.1,10,19,1.33,3.39,H
1.28,5.75,9,1.5,2.5,H
5.75,4,1.55,2,1.8,A
1.75,3.39,5,2.29,1.6,D
1.8,3.5,4.5,1.95,1.85,H
1.95,3.2,4.2,2.35,1.57,H
1.9,3.25,4.33,2.07,1.72,D
8.5,4.33,1.39,1.95,1.85,A
1.22,5.75,13,1.64,2.2,H
3.2,3.5,2.14,,,H
6.5,3.6,1.57,1.66,2.14,H
1.33,5,9,1.57,2.35,H
1.33,5,9,1.64,2.2,D
1.9,3.2,4.33,2.35,1.57,H
2.39,3.1,3.1,2.35,1.57,A
1.9,3.39,4,2.25,1.61,D
2.37,3.29,2.89,1.85,1.95,D
2,3.29,3.75,2.6,1.47,H
1.33,5,9,1.55,2.37,D
2.5,3.39,2.7,1.7,2.1,D
1.12,8,21,1.36,3.1,H
1.9,3.39,4,2.04,1.75,A
9,4.5,1.36,1.77,2.02,A
1.9,3.39,4,2.1,1.7,H
6,4,1.53,2,1.8,A
6,4,1.53,1.75,2.04,A
1.53,4,6,1.95,1.85,H
2.29,3.39,3,2.07,1.72,A
2.25,3.2,3.25,2.35,1.57,D
5.5,3.75,1.61,1.75,2.04,D
10,6,1.25,1.39,2.87,D
1.33,5,8.5,1.7,2.1,D
2.39,3.29,2.87,2.07,1.72,H
1.22,5.75,13,1.64,2.2,H
2.5,3.25,2.79,2.39,1.53,D
1.36,5,7.5,1.53,2.39,H
1.85,3.5,4.2,2.25,1.61,D
1.66,3.75,5,2.1,1.7,A
4.5,3.79,1.72,1.8,2,A
11,6,1.25,1.47,2.6,A
1.16,7,17,1.52,2.42,H
2.1,3.39,3.39,2.04,1.75,D
1.22,6,13,1.6,2.29,H
2.5,3.25,2.79,2.2,1.64,D
1.25,5.5,13,1.62,2.25,D
2.5,3.39,2.7,1.8,2,H
2.5,3.25,2.79,2.2,1.64,D
1.39,4.5,8,1.8,2,H
5.25,3.5,1.7,1.89,1.89,D
5.5,3.6,1.64,1.89,1.89,A
2.45,3.1,3,2.29,1.6,H
1.08,10,23,1.33,3.39,H
1.55,4,6,2.04,1.75,D
2,3.29,3.75,2.2,1.64,H
2.54,3.1,2.87,2.35,1.57,D
2.2,3.25,3.29,2.07,1.72,A
5.25,3.6,1.66,1.8,2,D
2.25,3.39,3.1,1.64,2.2,D
1.72,3.5,5,2.07,1.72,H
6.25,4,1.53,1.7,2.1,A
6.25,4,1.53,2,1.8,A
1.44,4.33,7,1.53,2.39,H
2.04,3.25,3.75,2.07,1.72,A
1.22,5.5,15,1.7,2.1,H
2.45,3,3.1,2.35,1.57,D
1.3,5.25,9.5,1.64,2.2,H
1.66,3.75,5,2,1.8,A
1.8,3.5,4.5,2.04,1.75,A
1.19,6.25,14,1.5,2.5,D
1.22,6,12,1.72,2.07,H
1.25,5.75,11,1.66,2.14,H
5.25,4,1.6,1.7,2.1,D
2.37,3.2,3,2.1,1.7,A
2,3.29,3.75,2.04,1.75,A
15,6.5,1.18,1.44,2.7,A
2.39,3.2,3,2.1,1.7,H
9,5,1.33,1.8,2,A
2.39,3.1,3.1,2.25,1.61,H
2.79,3.39,2.39,1.8,2,A
1.33,5,9,1.5,2.5,D
4.2,3.6,1.83,1.75,2.04,D
2.39,3.25,2.89,2.04,1.75,A
2.39,3.2,3,2.14,1.66,H
2.1,3.2,3.6,2.14,1.66,D
2.5,3.2,2.79,2.2,1.64,H
2.39,3.2,3,2.14,1.66,H
1.22,6,12,1.53,2.39,H
6,4,1.53,1.75,2.04,H
1.1,10,19,1.19,4.33,H
2.29,3.2,3.1,2.2,1.64,D
2.37,3.39,2.87,1.64,2.2,A
6.5,4.5,1.44,1.75,2.04,A
1.61,3.79,5.5,1.75,2.04,H
1.7,3.6,5,2.04,1.75,H
1.8,3.5,4.5,2.14,1.66,H
5.25,4.2,1.55,1.7,2.1,D
2.25,3.2,3.25,2.14,1.66,D
1.19,6.5,13,1.64,2.2,H
2,3.39,3.7,2.04,1.75,H
1.14,8,15,1.36,3.1,H
5.25,4.2,1.57,1.7,2.1,A
1.16,7,15,1.5,2.5,H
2,3.39,3.7,2.1,1.7,A
1.16,7,15,1.57,2.35,H
6.5,4.09,1.5,1.85,1.95,A
2.29,3.1,3.25,2.39,1.53,D
2.5,3.1,2.89,2.35,1.57,D
4.75,3.79,1.7,1.85,1.95,H
13,7,1.18,1.39,2.87,A
5.5,4,1.57,1.6,2.29,A
1.85,3.5,4.2,2.25,1.61,H
2.29,3.39,3,1.7,2.1,D
2.25,3.29,3.2,2.14,1.66,H
1.18,6.5,15,1.7,2.1,H
2.14,3.29,3.39,2.07,1.72,A
2.5,3.39,2.7,2.07,1.72,D
1.25,5.5,12,1.61,2.25,D
2.5,3.39,2.7,2.04,1.75,D
2.39,3.2,3,2.35,1.57,D
2.04,3.25,3.75,2.1,1.7,H
1.25,5.5,12,1.8,2,H
1.85,3.39,4.33,2,1.8,H
2.25,3.1,3.39,2.25,1.61,H
2.79,3.2,2.5,2.14,1.66,D
8.5,5,1.33,1.44,2.7,A
1.39,4.5,8,1.66,2.14,H
7,4.33,1.44,1.85,1.95,A
2.2,3.25,3.29,1.64,2.2,H
2.25,3.2,3.25,2.07,1.72,H
1.8,3.39,4.75,2,1.8,H
1.53,4,6.25,1.47,2.6,H
1.19,6.5,13,1.44,2.7,H
5,4,1.61,1.66,2.14,A
2.54,3.1,2.87,2.39,1.53,H
2.04,3.25,3.75,2.14,1.66,A
1.6,3.6,6,2.35,1.57,A
2.04,3.2,3.79,2.35,1.57,A
2.39,3.25,2.89,2,1.8,D
2.8,3.2,2.5,2.25,1.62,H
2.2,3.2,3.4,2,1.8,H
3,3.2,2.38,2.35,1.57,D
6.25,4.2,1.5,1.73,2.08,A
1.2,6.5,13,1.57,2.35,H
2.5,3.25,2.8,2.15,1.67,D
1.22,6,13,1.6,2.3,H
2.05,3.2,3.75,2.2,1.65,A
10,6,1.25,1.44,2.7,A
1.95,3.5,3.75,2,1.8,H
2,3.6,3.5,1.67,2.15,H
3.75,3.6,1.91,1.8,2,A
1.7,3.5,5.25,2.3,1.6,H
9,5,1.33,1.85,1.95,H
1.13,9,15,1.4,2.88,H
1.85,3.5,4.2,2.15,1.67,H
1.95,3.3,4,2,1.8,A
3,3.2,2.4,2.1,1.7,A
1.2,6.5,13,1.6,2.3,H
1.83,3.5,4.33,2.2,1.65,A
1.83,3.4,4.5,2.08,1.73,D
1.67,3.6,5.5,2.05,1.75,D
3.2,3.4,2.2,2.35,1.57,D
6,3.6,1.62,1.7,2.1,H
2.4,3.3,2.88,2.25,1.62,D
11,5,1.29,1.73,2.08,H
1.17,7.5,13,1.36,3.1,H
2.3,3.3,3.1,2.25,1.62,H
1.2,6.5,13,1.36,3.1,H
2.5,3.4,2.7,1.8,2,D
5,3.6,1.7,1.73,2.08,D
1.55,4,5.75,2,1.8,A
1.2,6.5,13,1.5,2.5,H
2.6,3.25,2.7,1.7,2.1,A
2.3,3.25,3.1,1.8,2,D
1.2,6.5,13,1.6,2.3,H
2.45,3.25,2.88,2.25,1.62,H
2.15,3.2,3.5,2.35,1.57,D
1.91,3.3,4.2,2.05,1.75,H
8,4,1.45,1.7,2.1,A
1.29,6,8.5,1.53,2.4,H
2.6,3.1,2.8,2.35,1.57,H
4,3.6,1.85,1.67,2.15,A
2.2,3.2,3.4,2.4,1.53,D
1.62,3.6,6,1.8,2,H
1.17,7.5,13,1.44,2.7,H
5,3.5,1.73,1.85,1.95,A
6,3.6,1.62,1.9,1.9,A
2.25,3.2,3.2,2.1,1.7,A
6,3.8,1.57,1.7,2.1,A
1.36,4.75,8,1.65,2.2,H
1.85,3.5,4.2,1.8,2,D
1.25,6,10,1.53,2.4,D
2.9,3.25,2.4,2.1,1.7,D
1.22,6.5,11,1.57,2.35,D
2.4,3.25,2.9,2,1.8,H
10,5,1.3,1.53,2.4,A
2.3,3.25,3.1,2.35,1.57,D
3,3.25,2.38,2.1,1.7,A
2,3.4,3.7,2.25,1.62,H
1.75,3.5,4.75,2.1,1.7,H
2.3,3.25,3.1,2.05,1.75,A
2.4,3.2,3,2.25,1.62,H
