Match_ID,Home_team,Away_team,FirstHalf_H,FirstHalf_A,FirstHalf_R,FH_Over_Under_1.5,SecondHalf_H,SecondHalf_A,SecondHalf_R,SH_Over_Under_1.5,Final_H,Final_A,Final_R,F_Over_Under_2.5,Winning_Team,Losing_Team,Payout_Winning Team
1,Liverpool,Watford,2,0,H,O,3,0,H,O,5,0,H,O,Liverpool,Watford,1.18
2,Bournemouth,West Brom,0,0,D,U,2,1,H,O,2,1,H,O,Bournemouth,West Brom,2
3,Huddersfield,Crystal Palace,0,1,A,U,0,1,A,U,0,2,A,U,Crystal Palace,Huddersfield,2.89
4,Stoke,Everton,0,0,D,U,1,2,A,O,1,2,A,O,Everton,Stoke,3.1
5,Stoke,Manchester City,0,1,A,U,0,1,A,U,0,2,A,U,Manchester City,Stoke,1.28
6,Bournemouth,Tottenham,1,1,D,O,0,3,A,O,1,4,A,O,Tottenham,Bournemouth,1.57
7,Arsenal,Watford,1,0,H,U,2,0,H,O,3,0,H,O,Arsenal,Watford,1.28
8,Chelsea,Crystal Palace,2,0,H,O,0,1,A,U,2,1,H,O,Chelsea,Crystal Palace,1.28
9,Everton,Brighton,0,0,D,U,2,0,H,O,2,0,H,U,Everton,Brighton,1.83
10,Huddersfield,Swansea,0,0,D,U,0,0,D,U,0,0,D,U,Huddersfield / Swansea,Huddersfield / Swansea,3.2
11,Newcastle,Southampton,2,0,H,O,1,0,H,U,3,0,H,O,Newcastle,Southampton,2.29
12,West Brom,Leicester,1,1,D,O,0,3,A,O,1,4,A,O,Leicester,West Brom,2.5
13,West Ham,Burnley,0,0,D,U,0,3,A,O,0,3,A,O,Burnley,West Ham,3.39
14,Manchester United,Liverpool,2,0,H,O,0,1,A,U,2,1,H,O,Manchester United,Liverpool,2.14
15,Crystal Palace,Manchester United,1,0,H,U,1,3,A,O,2,3,A,O,Manchester United,Crystal Palace,1.61
16,Manchester City,Chelsea,0,0,D,U,1,0,H,U,1,0,H,U,Manchester City,Chelsea,1.57
17,Brighton,Arsenal,2,1,H,O,0,0,D,U,2,1,H,O,Brighton,Arsenal,4.5
18,Liverpool,Newcastle,1,0,H,U,1,0,H,U,2,0,H,U,Liverpool,Newcastle,1.22
19,Leicester,Bournemouth,0,1,A,U,1,0,H,U,1,1,D,U,Leicester / Bournemouth,Leicester / Bournemouth,3.6
20,Southampton,Stoke,0,0,D,U,0,0,D,U,0,0,D,U,Southampton / Stoke,Southampton / Stoke,3.6
21,Swansea,West Ham,2,0,H,O,2,1,H,O,4,1,H,O,Swansea,West Ham,2.29
22,Tottenham,Huddersfield,1,0,H,U,1,0,H,U,2,0,H,U,Tottenham,Huddersfield,1.16
23,Watford,West Brom,0,0,D,U,1,0,H,U,1,0,H,U,Watford,West Brom,2.25
24,Burnley,Everton,0,1,A,U,2,0,H,O,2,1,H,O,Burnley,Everton,2.6
25,Arsenal,Manchester City,0,3,A,O,0,0,D,U,0,3,A,O,Manchester City,Arsenal,1.9
26,Manchester United,Chelsea,1,1,D,O,1,0,H,U,2,1,H,O,Manchester United,Chelsea,2.04
27,Crystal Palace,Tottenham,0,0,D,U,0,1,A,U,0,1,A,U,Tottenham,Crystal Palace,1.75
28,Watford,Everton,0,0,D,U,1,0,H,U,1,0,H,U,Watford,Everton,2.29
29,Bournemouth,Newcastle,0,2,A,O,2,0,H,O,2,2,D,O,Bournemouth / Newcastle,Bournemouth / Newcastle,3.25
30,Brighton,Swansea,1,0,H,U,3,1,H,O,4,1,H,O,Brighton,Swansea,2.04
31,Burnley,Southampton,0,0,D,U,1,1,D,O,1,1,D,U,Burnley / Southampton,Burnley / Southampton,3.1
32,Liverpool,West Ham,1,0,H,U,3,1,H,O,4,1,H,O,Liverpool,West Ham,1.22
33,West Brom,Huddersfield,0,0,D,U,1,2,A,O,1,2,A,O,Huddersfield,West Brom,4.2
34,Leicester,Stoke,0,1,A,U,1,0,H,U,1,1,D,U,Leicester / Stoke,Leicester / Stoke,3.39
35,Chelsea,West Brom,1,0,H,U,2,0,H,O,3,0,H,O,Chelsea,West Brom,1.25
36,Southampton,Liverpool,0,2,A,O,0,0,D,U,0,2,A,U,Liverpool,Southampton,1.72
37,Newcastle,Manchester United,0,0,D,U,1,0,H,U,1,0,H,U,Newcastle,Manchester United,6.5
38,Huddersfield,Bournemouth,2,1,H,O,2,0,H,O,4,1,H,O,Huddersfield,Bournemouth,2.6
39,Manchester City,Leicester,1,1,D,O,4,0,H,O,5,1,H,O,Manchester City,Leicester,1.18
40,Everton,Crystal Palace,0,0,D,U,3,1,H,O,3,1,H,O,Everton,Crystal Palace,2.25
41,Stoke,Brighton,0,1,A,U,1,0,H,U,1,1,D,U,Stoke / Brighton,Stoke / Brighton,3.2
42,Swansea,Burnley,0,0,D,U,1,0,H,U,1,0,H,U,Swansea,Burnley,2.39
